"3D Secure Status","3D Secure Status"
"Advanced Fraud","Advanced Fraud"
"Advanced Settings","Advanced Settings"
"Auth Code","Auth Code"
"Authorised amount of %1 Transaction ID: %2","Authorised amount of %1 Transaction ID: %2"
"AVS Address Result","AVS Address Result"
"AVS Postcode Result","AVS Postcode Result"
"Bad response received from gateway:","Bad response received from gateway:"
"Basic Settings","Basic Settings"
"Cancel","Cancel"
"Card details successfully and securely stored.","Card details successfully and securely stored."
"Card Number","Card Number"
"Card Type","Card Type"
"CVN Result","CVN Result"
"Cancelled order status","Cancelled order status"
"CAVV","CAVV"
"Chosen Payment Ref","Chosen Payment Ref"
"Country Specific Settings","Country Specific Settings"
"Decision Manager Fields","Decision Manager Fields"
"Decision Manager Profile","Decision Manager Profile"
"Device Fingerprinting Enabled","Device Fingerprinting Enabled"
"Device Fingerprinting Merchant Id","Device Fingerprinting Merchant Id"
"Device Fingerprinting Org Id","Device Fingerprinting Org Id"
"ECI","ECI"
"Empty response received from gateway","Empty response received from gateway"
"Enabled","Enabled"
"Enable debug logging","Enable debug logging"
"Environment","Environment"
"Fraud Filter Result","Fraud Filter Result"
"Fraud Mode","Fraud Mode"
"Fully 3D Secure","Fully 3D Secure"
"Gateway response:","Gateway response:"
"Gateway response does not have an order id.","Gateway response does not have an order id."
"Gateway response has an invalid order id.","Gateway response has an invalid order id."
"Gateway Request:","Gateway Request:"
"Iframe Enabled","Iframe Enabled"
"Iframe Mode","Iframe Mode"
"In this section you can Edit or Delete your stored cards or Add a new one to your account","In this section you can Edit or Delete your stored cards or Add a new one to your account"
"Invalid response received from gateway.","Invalid response received from gateway."
"Invoiced amount of %1 Transaction ID: %2","Invoiced amount of %1 Transaction ID: %2"
"Manage cards in My Account","Manage cards in My Account"
"Merchant 3D Secure","Merchant 3D Secure"
"Merchant Id","Merchant Id"
"Merchant Account","Merchant Account"
"Message","Message"
"My Stored Cards","My Stored Cards"
"New order status","New order status"
"Order Id","Order Id"
"OTB Enabled","OTB Enabled"
"Pas Ref","Pas Ref"
"Payment Button Text","Payment Button Text"
"Payment Form Language","Payment Form Language"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment Method","Payment Method"
"Paypal Allow Address Override","Paypal Allow Address Override"
"Paypal Pass Shipping Address","Paypal Pass Shipping Address"
"Place Order","Place Order"
"Please don\'t press the back button.","Please don\'t press the back button."
"Realex Payments","Global Payments"
"Rebate Secret Key","Rebate Secret Key"
"Result","Result"
"Return Transaction Suitability Score","Return Transaction Suitability Score"
"Settle Mode","Settle Mode"
"Shared Secret Key","Shared Secret Key"
"Sub-Account","Sub-Account"
"The capture action failed","The capture action failed"
"The refund action failed","The refund action failed"
"The void action failed","The void action failed"
"Title","Title"
"TSS","TSS"
"Your cards were successfully stored.","Your cards were successfully stored."
"Your payment was successful.","Your payment was successful."
"Your payment was unsuccessful. Please try again or use a different card / payment method.","Your payment was unsuccessful. Please try again or use a different card / payment method."
"XID","XID"
